Indiv1	Indiv2	relationship type	generation depth	meioses events
1	2	full	0	2
1	3	direct	1	1
1	4	direct	1	1
1	5	full	1	3
1	6	NA	NA	NA
1	7	full	0	4
1	8	full	0	4
1	9	full	1	3
1	10	NA	NA	NA
1	11	full	0	4
1	12	full	1	3
1	14	direct	2	2
1	15	direct	2	2
1	16	NA	NA	NA
1	17	half	1	3
1	18	NA	NA	NA
1	19	half	0	4
1	20	half	0	4
1	21	half	1	3
1	22	NA	NA	NA
1	23	half	0	4
1	24	NA	NA	NA
1	25	half	-1	5
1	26	half	0	4
1	27	half	1	3
1	28	NA	NA	NA
1	29	half	0	4
1	30	NA	NA	NA
1	31	half	-1	5
1	32	half	-1	5
1	33	half	0	4
1	34	NA	NA	NA
1	35	half	-1	5
1	36	half	-1	5
1	37	half	1	3
1	38	NA	NA	NA
1	39	half	1	3
1	40	half	0	4
1	41	half	0	4
1	42	NA	NA	NA
1	43	half	-1	5
1	44	half	-1	5
1	45	half	-1	5
1	46	half	0	4
2	3	direct	1	1
2	4	direct	1	1
2	5	full	1	3
2	6	NA	NA	NA
2	7	full	0	4
2	8	full	0	4
2	9	full	1	3
2	10	NA	NA	NA
2	11	full	0	4
2	12	full	1	3
2	14	direct	2	2
2	15	direct	2	2
2	16	NA	NA	NA
2	17	half	1	3
2	18	NA	NA	NA
2	19	half	0	4
2	20	half	0	4
2	21	half	1	3
2	22	NA	NA	NA
2	23	half	0	4
2	24	NA	NA	NA
2	25	half	-1	5
2	26	half	0	4
2	27	half	1	3
2	28	NA	NA	NA
2	29	half	0	4
2	30	NA	NA	NA
2	31	half	-1	5
2	32	half	-1	5
2	33	half	0	4
2	34	NA	NA	NA
2	35	half	-1	5
2	36	half	-1	5
2	37	half	1	3
2	38	NA	NA	NA
2	39	half	1	3
2	40	half	0	4
2	41	half	0	4
2	42	NA	NA	NA
2	43	half	-1	5
2	44	half	-1	5
2	45	half	-1	5
2	46	half	0	4
3	4	NA	NA	NA
3	5	NA	NA	NA
3	6	NA	NA	NA
3	7	NA	NA	NA
3	8	NA	NA	NA
3	9	NA	NA	NA
3	10	NA	NA	NA
3	11	NA	NA	NA
3	12	NA	NA	NA
3	14	NA	NA	NA
3	15	NA	NA	NA
3	16	NA	NA	NA
3	17	NA	NA	NA
3	18	NA	NA	NA
3	19	NA	NA	NA
3	20	NA	NA	NA
3	21	NA	NA	NA
3	22	NA	NA	NA
3	23	NA	NA	NA
3	24	NA	NA	NA
3	25	NA	NA	NA
3	26	NA	NA	NA
3	27	NA	NA	NA
3	28	NA	NA	NA
3	29	NA	NA	NA
3	30	NA	NA	NA
3	31	NA	NA	NA
3	32	NA	NA	NA
3	33	NA	NA	NA
3	34	NA	NA	NA
3	35	NA	NA	NA
3	36	NA	NA	NA
3	37	NA	NA	NA
3	38	NA	NA	NA
3	39	NA	NA	NA
3	40	NA	NA	NA
3	41	NA	NA	NA
3	42	NA	NA	NA
3	43	NA	NA	NA
3	44	NA	NA	NA
3	45	NA	NA	NA
3	46	NA	NA	NA
4	5	full	0	2
4	6	NA	NA	NA
4	7	full	-1	3
4	8	full	-1	3
4	9	full	0	2
4	10	NA	NA	NA
4	11	full	-1	3
4	12	full	0	2
4	14	direct	1	1
4	15	direct	1	1
4	16	NA	NA	NA
4	17	half	0	2
4	18	NA	NA	NA
4	19	half	-1	3
4	20	half	-1	3
4	21	half	0	2
4	22	NA	NA	NA
4	23	half	-1	3
4	24	NA	NA	NA
4	25	half	-2	4
4	26	half	-1	3
4	27	half	0	2
4	28	NA	NA	NA
4	29	half	-1	3
4	30	NA	NA	NA
4	31	half	-2	4
4	32	half	-2	4
4	33	half	-1	3
4	34	NA	NA	NA
4	35	half	-2	4
4	36	half	-2	4
4	37	half	0	2
4	38	NA	NA	NA
4	39	half	0	2
4	40	half	-1	3
4	41	half	-1	3
4	42	NA	NA	NA
4	43	half	-2	4
4	44	half	-2	4
4	45	half	-2	4
4	46	half	-1	3
5	6	NA	NA	NA
5	7	direct	-1	1
5	8	direct	-1	1
5	9	full	0	2
5	10	NA	NA	NA
5	11	full	-1	3
5	12	full	0	2
5	14	direct	1	1
5	15	direct	1	1
5	16	NA	NA	NA
5	17	half	0	2
5	18	NA	NA	NA
5	19	half	-1	3
5	20	half	-1	3
5	21	half	0	2
5	22	NA	NA	NA
5	23	half	-1	3
5	24	NA	NA	NA
5	25	half	-2	4
5	26	half	-1	3
5	27	half	0	2
5	28	NA	NA	NA
5	29	half	-1	3
5	30	NA	NA	NA
5	31	half	-2	4
5	32	half	-2	4
5	33	half	-1	3
5	34	NA	NA	NA
5	35	half	-2	4
5	36	half	-2	4
5	37	half	0	2
5	38	NA	NA	NA
5	39	half	0	2
5	40	half	-1	3
5	41	half	-1	3
5	42	NA	NA	NA
5	43	half	-2	4
5	44	half	-2	4
5	45	half	-2	4
5	46	half	-1	3
6	7	direct	-1	1
6	8	direct	-1	1
6	9	NA	NA	NA
6	10	NA	NA	NA
6	11	NA	NA	NA
6	12	NA	NA	NA
6	14	NA	NA	NA
6	15	NA	NA	NA
6	16	NA	NA	NA
6	17	NA	NA	NA
6	18	NA	NA	NA
6	19	NA	NA	NA
6	20	NA	NA	NA
6	21	NA	NA	NA
6	22	NA	NA	NA
6	23	NA	NA	NA
6	24	NA	NA	NA
6	25	NA	NA	NA
6	26	NA	NA	NA
6	27	NA	NA	NA
6	28	NA	NA	NA
6	29	NA	NA	NA
6	30	NA	NA	NA
6	31	NA	NA	NA
6	32	NA	NA	NA
6	33	NA	NA	NA
6	34	NA	NA	NA
6	35	NA	NA	NA
6	36	NA	NA	NA
6	37	NA	NA	NA
6	38	NA	NA	NA
6	39	NA	NA	NA
6	40	NA	NA	NA
6	41	NA	NA	NA
6	42	NA	NA	NA
6	43	NA	NA	NA
6	44	NA	NA	NA
6	45	NA	NA	NA
6	46	NA	NA	NA
7	8	full	0	2
7	9	full	1	3
7	10	NA	NA	NA
7	11	full	0	4
7	12	full	1	3
7	14	direct	2	2
7	15	direct	2	2
7	16	NA	NA	NA
7	17	half	1	3
7	18	NA	NA	NA
7	19	half	0	4
7	20	half	0	4
7	21	half	1	3
7	22	NA	NA	NA
7	23	half	0	4
7	24	NA	NA	NA
7	25	half	-1	5
7	26	half	0	4
7	27	half	1	3
7	28	NA	NA	NA
7	29	half	0	4
7	30	NA	NA	NA
7	31	half	-1	5
7	32	half	-1	5
7	33	half	0	4
7	34	NA	NA	NA
7	35	half	-1	5
7	36	half	-1	5
7	37	half	1	3
7	38	NA	NA	NA
7	39	half	1	3
7	40	half	0	4
7	41	half	0	4
7	42	NA	NA	NA
7	43	half	-1	5
7	44	half	-1	5
7	45	half	-1	5
7	46	half	0	4
8	9	full	1	3
8	10	NA	NA	NA
8	11	full	0	4
8	12	full	1	3
8	14	direct	2	2
8	15	direct	2	2
8	16	NA	NA	NA
8	17	half	1	3
8	18	NA	NA	NA
8	19	half	0	4
8	20	half	0	4
8	21	half	1	3
8	22	NA	NA	NA
8	23	half	0	4
8	24	NA	NA	NA
8	25	half	-1	5
8	26	half	0	4
8	27	half	1	3
8	28	NA	NA	NA
8	29	half	0	4
8	30	NA	NA	NA
8	31	half	-1	5
8	32	half	-1	5
8	33	half	0	4
8	34	NA	NA	NA
8	35	half	-1	5
8	36	half	-1	5
8	37	half	1	3
8	38	NA	NA	NA
8	39	half	1	3
8	40	half	0	4
8	41	half	0	4
8	42	NA	NA	NA
8	43	half	-1	5
8	44	half	-1	5
8	45	half	-1	5
8	46	half	0	4
9	10	NA	NA	NA
9	11	direct	-1	1
9	12	full	0	2
9	14	direct	1	1
9	15	direct	1	1
9	16	NA	NA	NA
