Indiv1	Indiv2	relationship type	generation depth	meioses events
1	2	NA	NA	NA
1	3	direct	-1	1
1	4	NA	NA	NA
1	5	NA	NA	NA
1	6	NA	NA	NA
1	7	direct	-2	2
1	8	NA	NA	NA
1	9	NA	NA	NA
1	10	NA	NA	NA
1	11	NA	NA	NA
1	12	NA	NA	NA
1	13	NA	NA	NA
1	14	NA	NA	NA
1	15	NA	NA	NA
1	16	NA	NA	NA
1	17	direct	-3	3
1	18	direct	-3	3
1	19	NA	NA	NA
1	20	NA	NA	NA
1	21	NA	NA	NA
1	22	NA	NA	NA
1	23	NA	NA	NA
1	24	NA	NA	NA
1	25	NA	NA	NA
1	26	NA	NA	NA
1	27	NA	NA	NA
1	28	NA	NA	NA
1	29	NA	NA	NA
2	3	direct	-1	1
2	4	NA	NA	NA
2	5	NA	NA	NA
2	6	NA	NA	NA
2	7	direct	-2	2
2	8	NA	NA	NA
2	9	NA	NA	NA
2	10	NA	NA	NA
2	11	NA	NA	NA
2	12	NA	NA	NA
2	13	NA	NA	NA
2	14	NA	NA	NA
2	15	NA	NA	NA
2	16	NA	NA	NA
2	17	direct	-3	3
2	18	direct	-3	3
2	19	NA	NA	NA
2	20	NA	NA	NA
2	21	NA	NA	NA
2	22	NA	NA	NA
2	23	NA	NA	NA
2	24	NA	NA	NA
2	25	NA	NA	NA
2	26	NA	NA	NA
2	27	NA	NA	NA
2	28	NA	NA	NA
2	29	NA	NA	NA
3	4	NA	NA	NA
3	5	NA	NA	NA
3	6	NA	NA	NA
3	7	direct	-1	1
3	8	NA	NA	NA
3	9	NA	NA	NA
3	10	NA	NA	NA
3	11	NA	NA	NA
3	12	NA	NA	NA
3	13	NA	NA	NA
3	14	NA	NA	NA
3	15	NA	NA	NA
3	16	NA	NA	NA
3	17	direct	-2	2
3	18	direct	-2	2
3	19	NA	NA	NA
3	20	NA	NA	NA
3	21	NA	NA	NA
3	22	NA	NA	NA
3	23	NA	NA	NA
3	24	NA	NA	NA
3	25	NA	NA	NA
3	26	NA	NA	NA
3	27	NA	NA	NA
3	28	NA	NA	NA
3	29	NA	NA	NA
4	5	NA	NA	NA
4	6	NA	NA	NA
4	7	NA	NA	NA
4	8	direct	-1	1
4	9	direct	-1	1
4	10	NA	NA	NA
4	11	NA	NA	NA
4	12	direct	-1	1
4	13	direct	-1	1
4	14	NA	NA	NA
4	15	direct	-1	1
4	16	NA	NA	NA
4	17	direct	-2	2
4	18	direct	-2	2
4	19	direct	-2	2
4	20	direct	-2	2
4	21	direct	-2	2
4	22	NA	NA	NA
4	23	NA	NA	NA
4	24	direct	-2	2
4	25	direct	-2	2
4	26	direct	-2	2
4	27	direct	-2	2
4	28	direct	-2	2
4	29	direct	-2	2
5	6	NA	NA	NA
5	7	NA	NA	NA
5	8	direct	-1	1
5	9	direct	-1	1
5	10	NA	NA	NA
5	11	NA	NA	NA
5	12	direct	-1	1
5	13	direct	-1	1
5	14	NA	NA	NA
5	15	direct	-1	1
5	16	NA	NA	NA
5	17	direct	-2	2
5	18	direct	-2	2
5	19	direct	-2	2
5	20	direct	-2	2
5	21	direct	-2	2
5	22	NA	NA	NA
5	23	NA	NA	NA
5	24	direct	-2	2
5	25	direct	-2	2
5	26	direct	-2	2
5	27	direct	-2	2
5	28	direct	-2	2
5	29	direct	-2	2
6	7	NA	NA	NA
6	8	NA	NA	NA
6	9	NA	NA	NA
6	10	NA	NA	NA
6	11	NA	NA	NA
6	12	NA	NA	NA
6	13	NA	NA	NA
6	14	NA	NA	NA
6	15	NA	NA	NA
6	16	direct	-1	1
6	17	NA	NA	NA
6	18	NA	NA	NA
6	19	NA	NA	NA
6	20	NA	NA	NA
6	21	NA	NA	NA
6	22	NA	NA	NA
6	23	NA	NA	NA
6	24	NA	NA	NA
6	25	NA	NA	NA
6	26	NA	NA	NA
6	27	NA	NA	NA
6	28	NA	NA	NA
6	29	NA	NA	NA
7	8	NA	NA	NA
7	9	NA	NA	NA
7	10	NA	NA	NA
7	11	NA	NA	NA
7	12	NA	NA	NA
7	13	NA	NA	NA
7	14	NA	NA	NA
7	15	NA	NA	NA
7	16	NA	NA	NA
7	17	direct	-1	1
7	18	direct	-1	1
7	19	NA	NA	NA
7	20	NA	NA	NA
7	21	NA	NA	NA
7	22	NA	NA	NA
7	23	NA	NA	NA
7	24	NA	NA	NA
7	25	NA	NA	NA
7	26	NA	NA	NA
7	27	NA	NA	NA
7	28	NA	NA	NA
7	29	NA	NA	NA
8	9	full	0	2
8	10	NA	NA	NA
8	11	NA	NA	NA
8	12	full	0	2
8	13	full	0	2
8	14	NA	NA	NA
8	15	full	0	2
8	16	NA	NA	NA
8	17	direct	-1	1
8	18	direct	-1	1
8	19	full	-1	3
8	20	full	-1	3
8	21	full	-1	3
8	22	NA	NA	NA
8	23	NA	NA	NA
8	24	full	-1	3
8	25	full	-1	3
8	26	full	-1	3
8	27	full	-1	3
8	28	full	-1	3
8	29	full	-1	3
9	10	NA	NA	NA
9	11	NA	NA	NA
9	12	full	0	2
9	13	full	0	2
9	14	NA	NA	NA
9	15	full	0	2
9	16	NA	NA	NA
9	17	full	-1	3
9	18	full	-1	3
9	19	direct	-1	1
9	20	direct	-1	1
9	21	direct	-1	1
9	22	NA	NA	NA
9	23	NA	NA	NA
9	24	full	-1	3
9	25	full	-1	3
9	26	full	-1	3
9	27	full	-1	3
9	28	full	-1	3
9	29	full	-1	3
10	11	NA	NA	NA
10	12	NA	NA	NA
10	13	NA	NA	NA
10	14	NA	NA	NA
10	15	NA	NA	NA
10	16	NA	NA	NA
10	17	NA	NA	NA
10	18	NA	NA	NA
10	19	direct	-1	1
10	20	direct	-1	1
10	21	direct	-1	1
10	22	direct	-1	1
10	23	direct	-1	1
10	24	NA	NA	NA
10	25	NA	NA	NA
10	26	NA	NA	NA
10	27	NA	NA	NA
10	28	NA	NA	NA
10	29	NA	NA	NA
11	12	NA	NA	NA
11	13	NA	NA	NA
11	14	NA	NA	NA
11	15	NA	NA	NA
11	16	NA	NA	NA
11	17	NA	NA	NA
11	18	NA	NA	NA
11	19	NA	NA	NA
11	20	NA	NA	NA
11	21	NA	NA	NA
11	22	direct	-1	1
11	23	direct	-1	1
11	24	NA	NA	NA
11	25	NA	NA	NA
11	26	NA	NA	NA
11	27	NA	NA	NA
11	28	NA	NA	NA
11	29	NA	NA	NA
12	13	full	0	2
12	14	NA	NA	NA
12	15	full	0	2
12	16	NA	NA	NA
12	17	full	-1	3
12	18	full	-1	3
12	19	full	-1	3
12	20	full	-1	3
12	21	full	-1	3
12	22	NA	NA	NA
12	23	NA	NA	NA
12	24	full	-1	3
12	25	full	-1	3
12	26	full	-1	3
12	27	full	-1	3
12	28	full	-1	3
12	29	full	-1	3
13	14	NA	NA	NA
13	15	full	0	2
13	16	NA	NA	NA
13	17	full	-1	3
13	18	full	-1	3
13	19	full	-1	3
13	20	full	-1	3
13	21	full	-1	3
13	22	NA	NA	NA
13	23	NA	NA	NA
13	24	full	-1	3
13	25	full	-1	3
13	26	full	-1	3
13	27	full	-1	3
13	28	full	-1	3
13	29	full	-1	3
14	15	NA	NA	NA
14	16	NA	NA	NA
14	17	NA	NA	NA
14	18	NA	NA	NA
14	19	NA	NA	NA
14	20	NA	NA	NA
14	21	NA	NA	NA
14	22	NA	NA	NA
14	23	NA	NA	NA
14	24	direct	-1	1
14	25	direct	-1	1
14	26	direct	-1	1
14	27	direct	-1	1
14	28	direct	-1	1
14	29	direct	-1	1
15	16	NA	NA	NA
15	17	full	-1	3
