Indiv1	Indiv2	relationship type	generation depth	meioses events
1	2	full	0	2
1	3	direct	1	1
1	4	direct	1	1
1	5	direct	2	2
1	6	direct	2	2
1	7	direct	2	2
1	8	direct	2	2
1	9	direct	3	3
1	10	full	2	4
1	11	full	2	4
1	12	full	0	6
1	13	full	1	5
1	14	full	1	5
1	15	full	1	3
1	16	full	0	4
1	17	full	0	4
1	18	full	1	3
1	19	full	1	3
1	20	full	0	4
1	21	full	0	4
1	22	full	0	4
1	23	full	-1	5
1	24	full	-1	5
1	25	NA	NA	NA
1	26	NA	NA	NA
1	27	half	1	3
1	28	NA	NA	NA
1	29	direct	3	3
1	30	NA	NA	NA
1	31	NA	NA	NA
1	32	NA	NA	NA
1	33	NA	NA	NA
2	3	direct	1	1
2	4	direct	1	1
2	5	direct	2	2
2	6	direct	2	2
2	7	direct	2	2
2	8	direct	2	2
2	9	direct	3	3
2	10	full	2	4
2	11	full	2	4
2	12	full	0	6
2	13	full	1	5
2	14	full	1	5
2	15	full	1	3
2	16	full	0	4
2	17	full	0	4
2	18	full	1	3
2	19	full	1	3
2	20	full	0	4
2	21	full	0	4
2	22	full	0	4
2	23	full	-1	5
2	24	full	-1	5
2	25	NA	NA	NA
2	26	NA	NA	NA
2	27	half	1	3
2	28	NA	NA	NA
2	29	direct	3	3
2	30	NA	NA	NA
2	31	NA	NA	NA
2	32	NA	NA	NA
2	33	NA	NA	NA
3	4	NA	NA	NA
3	5	NA	NA	NA
3	6	NA	NA	NA
3	7	direct	1	1
3	8	direct	1	1
3	9	NA	NA	NA
3	10	NA	NA	NA
3	11	NA	NA	NA
3	12	NA	NA	NA
3	13	NA	NA	NA
3	14	NA	NA	NA
3	15	full	0	2
3	16	full	-1	3
3	17	full	-1	3
3	18	full	0	2
3	19	full	0	2
3	20	full	-1	3
3	21	full	-1	3
3	22	full	-1	3
3	23	full	-2	4
3	24	full	-2	4
3	25	NA	NA	NA
3	26	NA	NA	NA
3	27	NA	NA	NA
3	28	NA	NA	NA
3	29	NA	NA	NA
3	30	NA	NA	NA
3	31	NA	NA	NA
3	32	NA	NA	NA
3	33	NA	NA	NA
4	5	direct	1	1
4	6	direct	1	1
4	7	NA	NA	NA
4	8	NA	NA	NA
4	9	direct	2	2
4	10	full	1	3
4	11	full	1	3
4	12	full	-1	5
4	13	full	0	4
4	14	full	0	4
4	15	NA	NA	NA
4	16	NA	NA	NA
4	17	NA	NA	NA
4	18	NA	NA	NA
4	19	NA	NA	NA
4	20	NA	NA	NA
4	21	NA	NA	NA
4	22	NA	NA	NA
4	23	NA	NA	NA
4	24	NA	NA	NA
4	25	NA	NA	NA
4	26	NA	NA	NA
4	27	half	0	2
4	28	NA	NA	NA
4	29	direct	2	2
4	30	NA	NA	NA
4	31	NA	NA	NA
4	32	NA	NA	NA
4	33	NA	NA	NA
5	6	NA	NA	NA
5	7	NA	NA	NA
5	8	NA	NA	NA
5	9	direct	1	1
5	10	full	0	2
5	11	full	0	2
5	12	full	-2	4
5	13	full	-1	3
5	14	full	-1	3
5	15	NA	NA	NA
5	16	NA	NA	NA
5	17	NA	NA	NA
5	18	NA	NA	NA
5	19	NA	NA	NA
5	20	NA	NA	NA
5	21	NA	NA	NA
5	22	NA	NA	NA
5	23	NA	NA	NA
5	24	NA	NA	NA
5	25	NA	NA	NA
5	26	NA	NA	NA
5	27	NA	NA	NA
5	28	NA	NA	NA
5	29	direct	1	1
5	30	NA	NA	NA
5	31	NA	NA	NA
5	32	NA	NA	NA
5	33	NA	NA	NA
6	7	NA	NA	NA
6	8	NA	NA	NA
6	9	NA	NA	NA
6	10	NA	NA	NA
6	11	NA	NA	NA
6	12	NA	NA	NA
6	13	NA	NA	NA
6	14	NA	NA	NA
6	15	NA	NA	NA
6	16	NA	NA	NA
6	17	NA	NA	NA
6	18	NA	NA	NA
6	19	NA	NA	NA
6	20	NA	NA	NA
6	21	NA	NA	NA
6	22	NA	NA	NA
6	23	NA	NA	NA
6	24	NA	NA	NA
6	25	NA	NA	NA
6	26	NA	NA	NA
6	27	direct	-1	1
6	28	NA	NA	NA
6	29	NA	NA	NA
6	30	NA	NA	NA
6	31	NA	NA	NA
6	32	NA	NA	NA
6	33	NA	NA	NA
7	8	NA	NA	NA
7	9	NA	NA	NA
7	10	NA	NA	NA
7	11	NA	NA	NA
7	12	NA	NA	NA
7	13	NA	NA	NA
7	14	NA	NA	NA
7	15	direct	-1	1
7	16	direct	-2	2
7	17	direct	-2	2
7	18	direct	-1	1
7	19	direct	-1	1
7	20	direct	-2	2
7	21	direct	-2	2
7	22	direct	-2	2
7	23	direct	-3	3
7	24	direct	-3	3
7	25	NA	NA	NA
7	26	NA	NA	NA
7	27	NA	NA	NA
7	28	NA	NA	NA
7	29	NA	NA	NA
7	30	NA	NA	NA
7	31	NA	NA	NA
7	32	NA	NA	NA
7	33	NA	NA	NA
8	9	NA	NA	NA
8	10	NA	NA	NA
8	11	NA	NA	NA
8	12	NA	NA	NA
8	13	NA	NA	NA
8	14	NA	NA	NA
8	15	direct	-1	1
8	16	direct	-2	2
8	17	direct	-2	2
8	18	direct	-1	1
8	19	direct	-1	1
8	20	direct	-2	2
8	21	direct	-2	2
8	22	direct	-2	2
8	23	direct	-3	3
8	24	direct	-3	3
8	25	NA	NA	NA
8	26	NA	NA	NA
8	27	NA	NA	NA
8	28	NA	NA	NA
8	29	NA	NA	NA
8	30	NA	NA	NA
8	31	NA	NA	NA
8	32	NA	NA	NA
8	33	NA	NA	NA
9	10	direct	-1	1
9	11	direct	-1	1
9	12	direct	-3	3
9	13	direct	-2	2
9	14	direct	-2	2
9	15	NA	NA	NA
9	16	NA	NA	NA
9	17	NA	NA	NA
9	18	NA	NA	NA
9	19	NA	NA	NA
9	20	NA	NA	NA
9	21	NA	NA	NA
9	22	NA	NA	NA
9	23	NA	NA	NA
9	24	NA	NA	NA
9	25	NA	NA	NA
9	26	NA	NA	NA
9	27	NA	NA	NA
9	28	NA	NA	NA
9	29	NA	NA	NA
9	30	NA	NA	NA
9	31	NA	NA	NA
9	32	NA	NA	NA
9	33	NA	NA	NA
10	11	full	0	2
10	12	direct	-2	2
10	13	direct	-1	1
10	14	full	-1	3
10	15	NA	NA	NA
10	16	NA	NA	NA
10	17	NA	NA	NA
10	18	NA	NA	NA
10	19	NA	NA	NA
10	20	NA	NA	NA
10	21	NA	NA	NA
10	22	NA	NA	NA
10	23	NA	NA	NA
10	24	NA	NA	NA
10	25	NA	NA	NA
10	26	NA	NA	NA
10	27	NA	NA	NA
10	28	NA	NA	NA
10	29	direct	1	1
10	30	NA	NA	NA
10	31	NA	NA	NA
10	32	NA	NA	NA
10	33	NA	NA	NA
11	12	full	-2	4
11	13	full	-1	3
11	14	direct	-1	1
11	15	NA	NA	NA
11	16	NA	NA	NA
11	17	NA	NA	NA
11	18	NA	NA	NA
11	19	NA	NA	NA
11	20	NA	NA	NA
11	21	NA	NA	NA
11	22	NA	NA	NA
11	23	NA	NA	NA
11	24	NA	NA	NA
11	25	NA	NA	NA
11	26	NA	NA	NA
11	27	NA	NA	NA
11	28	NA	NA	NA
11	29	direct	1	1
11	30	NA	NA	NA
11	31	NA	NA	NA
11	32	NA	NA	NA
11	33	NA	NA	NA
12	13	direct	1	1
12	14	full	1	5
12	15	NA	NA	NA
12	16	NA	NA	NA
12	17	NA	NA	NA
12	18	NA	NA	NA
12	19	NA	NA	NA
12	20	NA	NA	NA
12	21	NA	NA	NA
12	22	NA	NA	NA
12	23	NA	NA	NA
12	24	NA	NA	NA
12	25	NA	NA	NA
12	26	NA	NA	NA
12	27	NA	NA	NA
12	28	NA	NA	NA
