Indiv1	Indiv2	relationship type	generation depth	meioses events
1	2	NA	NA	NA
1	3	NA	NA	NA
1	4	NA	NA	NA
1	5	direct	-1	1
1	6	NA	NA	NA
1	7	NA	NA	NA
1	8	direct	-1	1
1	9	direct	-1	1
1	10	NA	NA	NA
1	11	NA	NA	NA
1	12	NA	NA	NA
1	13	NA	NA	NA
1	15	NA	NA	NA
1	16	direct	-2	2
1	17	NA	NA	NA
1	18	direct	-2	2
1	19	NA	NA	NA
1	20	direct	-2	2
1	21	NA	NA	NA
1	22	direct	-2	2
1	23	NA	NA	NA
1	24	direct	-2	2
1	25	direct	-2	2
1	26	direct	-2	2
1	27	direct	-2	2
1	28	NA	NA	NA
1	29	direct	-2	2
1	30	NA	NA	NA
1	31	NA	NA	NA
1	32	direct	-2	2
1	33	direct	-2	2
1	34	NA	NA	NA
1	35	NA	NA	NA
1	36	NA	NA	NA
1	37	NA	NA	NA
1	38	NA	NA	NA
1	39	NA	NA	NA
1	40	direct	-3	3
1	41	direct	-3	3
1	42	direct	-3	3
1	43	direct	-3	3
1	44	direct	-3	3
1	45	direct	-3	3
1	46	direct	-3	3
1	47	direct	-3	3
1	48	direct	-3	3
1	49	direct	-3	3
1	50	direct	-3	3
1	51	direct	-3	3
1	52	direct	-3	3
1	53	direct	-3	3
1	54	direct	-3	3
1	55	NA	NA	NA
1	56	NA	NA	NA
1	57	NA	NA	NA
1	58	NA	NA	NA
2	3	NA	NA	NA
2	4	NA	NA	NA
2	5	direct	-1	1
2	6	NA	NA	NA
2	7	NA	NA	NA
2	8	direct	-1	1
2	9	direct	-1	1
2	10	NA	NA	NA
2	11	NA	NA	NA
2	12	NA	NA	NA
2	13	NA	NA	NA
2	15	NA	NA	NA
2	16	direct	-2	2
2	17	NA	NA	NA
2	18	direct	-2	2
2	19	NA	NA	NA
2	20	direct	-2	2
2	21	NA	NA	NA
2	22	direct	-2	2
2	23	NA	NA	NA
2	24	direct	-2	2
2	25	direct	-2	2
2	26	direct	-2	2
2	27	direct	-2	2
2	28	NA	NA	NA
2	29	direct	-2	2
2	30	NA	NA	NA
2	31	NA	NA	NA
2	32	direct	-2	2
2	33	direct	-2	2
2	34	NA	NA	NA
2	35	NA	NA	NA
2	36	NA	NA	NA
2	37	NA	NA	NA
2	38	NA	NA	NA
2	39	NA	NA	NA
2	40	direct	-3	3
2	41	direct	-3	3
2	42	direct	-3	3
2	43	direct	-3	3
2	44	direct	-3	3
2	45	direct	-3	3
2	46	direct	-3	3
2	47	direct	-3	3
2	48	direct	-3	3
2	49	direct	-3	3
2	50	direct	-3	3
2	51	direct	-3	3
2	52	direct	-3	3
2	53	direct	-3	3
2	54	direct	-3	3
2	55	NA	NA	NA
2	56	NA	NA	NA
2	57	NA	NA	NA
2	58	NA	NA	NA
3	4	NA	NA	NA
3	5	NA	NA	NA
3	6	NA	NA	NA
3	7	NA	NA	NA
3	8	NA	NA	NA
3	9	NA	NA	NA
3	10	direct	-1	1
3	11	NA	NA	NA
3	12	direct	-1	1
3	13	direct	-1	1
3	15	direct	-1	1
3	16	NA	NA	NA
3	17	NA	NA	NA
3	18	NA	NA	NA
3	19	NA	NA	NA
3	20	NA	NA	NA
3	21	NA	NA	NA
3	22	NA	NA	NA
3	23	NA	NA	NA
3	24	NA	NA	NA
3	25	NA	NA	NA
3	26	direct	-2	2
3	27	direct	-2	2
3	28	NA	NA	NA
3	29	direct	-2	2
3	30	NA	NA	NA
3	31	NA	NA	NA
3	32	direct	-2	2
3	33	direct	-2	2
3	34	direct	-2	2
3	35	NA	NA	NA
3	36	direct	-2	2
3	37	NA	NA	NA
3	38	direct	-2	2
3	39	NA	NA	NA
3	40	NA	NA	NA
3	41	NA	NA	NA
3	42	NA	NA	NA
3	43	NA	NA	NA
3	44	NA	NA	NA
3	45	NA	NA	NA
3	46	NA	NA	NA
3	47	NA	NA	NA
3	48	NA	NA	NA
3	49	direct	-3	3
3	50	direct	-3	3
3	51	direct	-3	3
3	52	direct	-3	3
3	53	direct	-3	3
3	54	direct	-3	3
3	55	direct	-3	3
3	56	direct	-3	3
3	57	direct	-3	3
3	58	direct	-3	3
4	5	NA	NA	NA
4	6	NA	NA	NA
4	7	NA	NA	NA
4	8	NA	NA	NA
4	9	NA	NA	NA
4	10	direct	-1	1
4	11	NA	NA	NA
4	12	direct	-1	1
4	13	direct	-1	1
4	15	direct	-1	1
4	16	NA	NA	NA
4	17	NA	NA	NA
4	18	NA	NA	NA
4	19	NA	NA	NA
4	20	NA	NA	NA
4	21	NA	NA	NA
4	22	NA	NA	NA
4	23	NA	NA	NA
4	24	NA	NA	NA
4	25	NA	NA	NA
4	26	direct	-2	2
4	27	direct	-2	2
4	28	NA	NA	NA
4	29	direct	-2	2
4	30	NA	NA	NA
4	31	NA	NA	NA
4	32	direct	-2	2
4	33	direct	-2	2
4	34	direct	-2	2
4	35	NA	NA	NA
4	36	direct	-2	2
4	37	NA	NA	NA
4	38	direct	-2	2
4	39	NA	NA	NA
4	40	NA	NA	NA
4	41	NA	NA	NA
4	42	NA	NA	NA
4	43	NA	NA	NA
4	44	NA	NA	NA
4	45	NA	NA	NA
4	46	NA	NA	NA
4	47	NA	NA	NA
4	48	NA	NA	NA
4	49	direct	-3	3
4	50	direct	-3	3
4	51	direct	-3	3
4	52	direct	-3	3
4	53	direct	-3	3
4	54	direct	-3	3
4	55	direct	-3	3
4	56	direct	-3	3
4	57	direct	-3	3
4	58	direct	-3	3
5	6	NA	NA	NA
5	7	NA	NA	NA
5	8	full	0	2
5	9	full	0	2
5	10	NA	NA	NA
5	11	NA	NA	NA
5	12	NA	NA	NA
5	13	NA	NA	NA
5	15	NA	NA	NA
5	16	direct	-1	1
5	17	NA	NA	NA
5	18	direct	-1	1
5	19	NA	NA	NA
5	20	direct	-1	1
5	21	NA	NA	NA
5	22	full	-1	3
5	23	NA	NA	NA
5	24	full	-1	3
5	25	full	-1	3
5	26	full	-1	3
5	27	full	-1	3
5	28	NA	NA	NA
5	29	full	-1	3
5	30	NA	NA	NA
5	31	NA	NA	NA
5	32	full	-1	3
5	33	full	-1	3
5	34	NA	NA	NA
5	35	NA	NA	NA
5	36	NA	NA	NA
5	37	NA	NA	NA
5	38	NA	NA	NA
5	39	NA	NA	NA
5	40	direct	-2	2
5	41	direct	-2	2
5	42	direct	-2	2
5	43	direct	-2	2
5	44	direct	-2	2
5	45	direct	-2	2
5	46	direct	-2	2
5	47	direct	-2	2
5	48	full	-2	4
5	49	full	-2	4
5	50	full	-2	4
5	51	full	-2	4
5	52	full	-2	4
5	53	full	-2	4
5	54	full	-2	4
5	55	NA	NA	NA
5	56	NA	NA	NA
5	57	NA	NA	NA
5	58	NA	NA	NA
6	7	NA	NA	NA
6	8	NA	NA	NA
6	9	NA	NA	NA
6	10	NA	NA	NA
6	11	NA	NA	NA
6	12	NA	NA	NA
6	13	NA	NA	NA
6	15	NA	NA	NA
6	16	direct	-1	1
6	17	NA	NA	NA
6	18	direct	-1	1
6	19	NA	NA	NA
6	20	direct	-1	1
6	21	NA	NA	NA
6	22	NA	NA	NA
6	23	NA	NA	NA
6	24	NA	NA	NA
6	25	NA	NA	NA
6	26	NA	NA	NA
6	27	NA	NA	NA
6	28	NA	NA	NA
6	29	NA	NA	NA
6	30	NA	NA	NA
6	31	NA	NA	NA
6	32	NA	NA	NA
6	33	NA	NA	NA
6	34	NA	NA	NA
6	35	NA	NA	NA
6	36	NA	NA	NA
6	37	NA	NA	NA
6	38	NA	NA	NA
6	39	NA	NA	NA
6	40	direct	-2	2
6	41	direct	-2	2
6	42	direct	-2	2
6	43	direct	-2	2
6	44	direct	-2	2
6	45	direct	-2	2
6	46	direct	-2	2
6	47	direct	-2	2
6	48	NA	NA	NA
6	49	NA	NA	NA
6	50	NA	NA	NA
6	51	NA	NA	NA
6	52	NA	NA	NA
6	53	NA	NA	NA
6	54	NA	NA	NA
6	55	NA	NA	NA
6	56	NA	NA	NA
6	57	NA	NA	NA
6	58	NA	NA	NA
7	8	NA	NA	NA
7	9	NA	NA	NA
7	10	NA	NA	NA
7	11	NA	NA	NA
7	12	NA	NA	NA
7	13	NA	NA	NA
7	15	NA	NA	NA
7	16	NA	NA	NA
7	17	NA	NA	NA
7	18	NA	NA	NA
7	19	NA	NA	NA
7	20	NA	NA	NA
7	21	NA	NA	NA
7	22	direct	-1	1
7	23	NA	NA	NA
7	24	direct	-1	1
7	25	direct	-1	1
7	26	NA	NA	NA
7	27	NA	NA	NA
7	28	NA	NA	NA
7	29	NA	NA	NA
7	30	NA	NA	NA
7	31	NA	NA	NA
7	32	NA	NA	NA
7	33	NA	NA	NA
7	34	NA	NA	NA
7	35	NA	NA	NA
7	36	NA	NA	NA
7	37	NA	NA	NA
7	38	NA	NA	NA
7	39	NA	NA	NA
7	40	NA	NA	NA
7	41	NA	NA	NA
7	42	NA	NA	NA
7	43	NA	NA	NA
7	44	NA	NA	NA
7	45	NA	NA	NA
7	46	NA	NA	NA
7	47	NA	NA	NA
7	48	direct	-2	2
7	49	NA	NA	NA
7	50	NA	NA	NA
7	51	NA	NA	NA
7	52	NA	NA	NA
7	53	NA	NA	NA
7	54	NA	NA	NA
7	55	NA	NA	NA
7	56	NA	NA	NA
7	57	NA	NA	NA
7	58	NA	NA	NA
8	9	full	0	2
8	10	NA	NA	NA
8	11	NA	NA	NA
8	12	NA	NA	NA
8	13	NA	NA	NA
8	15	NA	NA	NA
8	16	full	-1	3
8	17	NA	NA	NA
8	18	full	-1	3
8	19	NA	NA	NA
8	20	full	-1	3
8	21	NA	NA	NA
8	22	direct	-1	1
8	23	NA	NA	NA
8	24	direct	-1	1
8	25	direct	-1	1
8	26	full	-1	3
8	27	full	-1	3
8	28	NA	NA	NA
8	29	full	-1	3
8	30	NA	NA	NA
8	31	NA	NA	NA
8	32	full	-1	3
8	33	full	-1	3
8	34	NA	NA	NA
8	35	NA	NA	NA
8	36	NA	NA	NA
8	37	NA	NA	NA
8	38	NA	NA	NA
8	39	NA	NA	NA
8	40	full	-2	4
8	41	full	-2	4
8	42	full	-2	4
8	43	full	-2	4
8	44	full	-2	4
8	45	full	-2	4
8	46	full	-2	4
8	47	full	-2	4
8	48	direct	-2	2
8	49	full	-2	4
8	50	full	-2	4
8	51	full	-2	4
8	52	full	-2	4
8	53	full	-2	4
8	54	full	-2	4
8	55	NA	NA	NA
8	56	NA	NA	NA
8	57	NA	NA	NA
8	58	NA	NA	NA
9	10	NA	NA	NA
9	11	NA	NA	NA
9	12	NA	NA	NA
9	13	NA	NA	NA
9	15	NA	NA	NA
9	16	full	-1	3
9	17	NA	NA	NA
9	18	full	-1	3
9	19	NA	NA	NA
9	20	full	-1	3
9	21	NA	NA	NA
9	22	full	-1	3
9	23	NA	NA	NA
9	24	full	-1	3
9	25	full	-1	3
9	26	direct	-1	1
9	27	direct	-1	1
9	28	NA	NA	NA
9	29	direct	-1	1
9	30	NA	NA	NA
9	31	NA	NA	NA
9	32	direct	-1	1
9	33	direct	-1	1
9	34	NA	NA	NA
9	35	NA	NA	NA
9	36	NA	NA	NA
9	37	NA	NA	NA
9	38	NA	NA	NA
9	39	NA	NA	NA
9	40	full	-2	4
9	41	full	-2	4
9	42	full	-2	4
9	43	full	-2	4
9	44	full	-2	4
9	45	full	-2	4
9	46	full	-2	4
9	47	full	-2	4
9	48	full	-2	4
9	49	direct	-2	2
9	50	direct	-2	2
9	51	direct	-2	2
9	52	direct	-2	2
9	53	direct	-2	2
9	54	direct	-2	2
9	55	NA	NA	NA
9	56	NA	NA	NA
9	57	NA	NA	NA
9	58	NA	NA	NA
10	11	NA	NA	NA
10	12	full	0	2
10	13	full	0	2
10	15	full	0	2
10	16	NA	NA	NA
10	17	NA	NA	NA
10	18	NA	NA	NA
10	19	NA	NA	NA
10	20	NA	NA	NA
10	21	NA	NA	NA
10	22	NA	NA	NA
10	23	NA	NA	NA
10	24	NA	NA	NA
10	25	NA	NA	NA
10	26	direct	-1	1
10	27	direct	-1	1
10	28	NA	NA	NA
10	29	direct	-1	1
10	30	NA	NA	NA
10	31	NA	NA	NA
10	32	direct	-1	1
10	33	direct	-1	1
10	34	full	-1	3
10	35	NA	NA	NA
10	36	full	-1	3
10	37	NA	NA	NA
10	38	full	-1	3
10	39	NA	NA	NA
10	40	NA	NA	NA
10	41	NA	NA	NA
10	42	NA	NA	NA
10	43	NA	NA	NA
10	44	NA	NA	NA
10	45	NA	NA	NA
10	46	NA	NA	NA
10	47	NA	NA	NA
10	48	NA	NA	NA
10	49	direct	-2	2
10	50	direct	-2	2
10	51	direct	-2	2
10	52	direct	-2	2
10	53	direct	-2	2
10	54	direct	-2	2
