Indiv1	Indiv2	relationship type	generation depth	meioses events
1	2	NA	NA	NA
1	3	direct	-1	1
1	4	direct	-1	1
1	5	direct	-1	1
1	6	direct	-1	1
1	7	NA	NA	NA
1	8	NA	NA	NA
1	9	direct	-2	2
1	10	direct	-2	2
1	11	direct	-2	2
1	12	direct	-2	2
1	13	direct	-2	2
1	14	direct	-2	2
1	15	NA	NA	NA
1	16	direct	-3	3
2	3	direct	-1	1
2	4	direct	-1	1
2	5	direct	-1	1
2	6	direct	-1	1
2	7	NA	NA	NA
2	8	NA	NA	NA
2	9	direct	-2	2
2	10	direct	-2	2
2	11	direct	-2	2
2	12	direct	-2	2
2	13	direct	-2	2
2	14	direct	-2	2
2	15	NA	NA	NA
2	16	direct	-3	3
3	4	full	0	2
3	5	full	0	2
3	6	full	0	2
3	7	NA	NA	NA
3	8	NA	NA	NA
3	9	direct	-1	1
3	10	direct	-1	1
3	11	direct	-1	1
3	12	full	-1	3
3	13	full	-1	3
3	14	full	-1	3
3	15	NA	NA	NA
3	16	full	-2	4
4	5	full	0	2
4	6	full	0	2
4	7	NA	NA	NA
4	8	NA	NA	NA
4	9	full	-1	3
4	10	full	-1	3
4	11	full	-1	3
4	12	full	-1	3
4	13	full	-1	3
4	14	full	-1	3
4	15	NA	NA	NA
4	16	full	-2	4
5	6	full	0	2
5	7	NA	NA	NA
5	8	NA	NA	NA
5	9	full	-1	3
5	10	full	-1	3
5	11	full	-1	3
5	12	direct	-1	1
5	13	direct	-1	1
5	14	full	-1	3
5	15	NA	NA	NA
5	16	direct	-2	2
6	7	NA	NA	NA
6	8	NA	NA	NA
6	9	full	-1	3
6	10	full	-1	3
6	11	full	-1	3
6	12	full	-1	3
6	13	full	-1	3
6	14	direct	-1	1
6	15	NA	NA	NA
6	16	full	-2	4
7	8	NA	NA	NA
7	9	direct	-1	1
7	10	direct	-1	1
7	11	direct	-1	1
7	12	NA	NA	NA
7	13	NA	NA	NA
7	14	NA	NA	NA
7	15	NA	NA	NA
7	16	NA	NA	NA
8	9	NA	NA	NA
8	10	NA	NA	NA
8	11	NA	NA	NA
8	12	direct	-1	1
8	13	direct	-1	1
8	14	NA	NA	NA
8	15	NA	NA	NA
8	16	direct	-2	2
9	10	full	0	2
9	11	full	0	2
9	12	full	0	4
9	13	full	0	4
9	14	full	0	4
9	15	NA	NA	NA
9	16	full	-1	5
10	11	full	0	2
10	12	full	0	4
10	13	full	0	4
10	14	full	0	4
10	15	NA	NA	NA
10	16	full	-1	5
11	12	full	0	4
11	13	full	0	4
11	14	full	0	4
11	15	NA	NA	NA
11	16	full	-1	5
12	13	full	0	2
12	14	full	0	4
12	15	NA	NA	NA
12	16	direct	-1	1
13	14	full	0	4
13	15	NA	NA	NA
13	16	full	-1	3
14	15	NA	NA	NA
14	16	full	-1	5
15	16	direct	-1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
