Indiv1	Indiv2	relationship type	generation depth	meioses events
203014	3361658	direct	-1	1
203014	11358801	direct	-3	3
203014	12259613	direct	-2	2
203014	13500873	direct	-2	2
203014	23563180	direct	-2	2
203014	30811971	direct	-1	1
203014	33217231	direct	-2	2
203014	36766034	direct	-2	2
203014	41078192	direct	-3	3
203014	45550932	direct	-1	1
203014	48673941	direct	-3	3
203014	49196332	direct	-2	2
203014	50439237	direct	-2	2
203014	51164937	direct	-2	2
203014	51389865	direct	-2	2
203014	51583853	direct	-2	2
203014	53489394	direct	-2	2
203014	69288951	direct	-1	1
203014	70223684	direct	-2	2
203014	74155431	direct	-1	1
203014	75252101	direct	-1	1
203014	75453071	direct	-2	2
203014	75910951	direct	-3	3
203014	83566783	direct	-2	2
211969	1743267	full	1	5
211969	2824054	full	0	6
211969	3900178	direct	3	3
211969	4627815	direct	2	2
211969	6525372	full	0	2
211969	6874369	full	0	6
211969	7189832	full	2	4
211969	7959801	full	2	4
211969	17601687	full	2	4
211969	23383643	full	1	5
211969	25255729	full	0	6
211969	26261855	full	1	5
211969	29764558	full	1	5
211969	31601025	full	2	4
211969	33981752	direct	1	1
211969	36457536	full	1	5
211969	42309593	direct	2	2
211969	46215383	direct	3	3
211969	50324091	full	1	5
211969	51925748	full	1	5
211969	53306027	full	2	4
211969	54033541	full	1	5
211969	62175876	full	1	5
211969	76066015	full	2	4
211969	76433337	direct	1	1
211969	76602875	full	0	6
211969	78061369	full	1	5
211969	79668033	full	1	5
211969	82720295	full	0	6
211969	83213567	full	0	6
211969	83616655	full	1	3
211969	85252368	full	2	4
553078	1652327	direct	-1	1
553078	1743267	direct	-2	2
553078	2824054	direct	-3	3
553078	3763287	direct	-2	2
553078	6808020	direct	-2	2
553078	9119021	direct	-3	3
553078	16016761	direct	-3	3
553078	17669879	direct	-3	3
553078	19162967	direct	-2	2
553078	26704258	direct	-3	3
553078	29764558	direct	-2	2
553078	31484389	direct	-3	3
553078	33643728	direct	-2	2
553078	33710982	direct	-2	2
553078	34900121	direct	-2	2
553078	38267877	direct	-1	1
553078	39880877	direct	-2	2
553078	40186358	direct	-3	3
553078	43247606	direct	-2	2
553078	43894541	direct	-2	2
553078	45017237	direct	-2	2
553078	45536399	direct	-2	2
553078	48389525	direct	-1	1
553078	50147320	direct	-1	1
553078	58075271	direct	-3	3
553078	58539330	direct	-1	1
553078	66604406	direct	-2	2
553078	71177161	direct	-3	3
553078	79744304	direct	-2	2
553078	82674919	direct	-1	1
553078	83040108	direct	-2	2
559266	1034815	full	0	4
559266	7875529	full	0	4
559266	9757981	full	0	4
559266	11956942	full	0	4
559266	12874452	full	1	3
559266	17120542	direct	1	1
559266	18953482	full	0	4
559266	21313502	full	0	4
559266	30010912	full	-1	5
559266	30204698	full	-1	5
559266	31376216	full	0	4
559266	31531987	full	-1	5
559266	32403431	direct	2	2
559266	35107882	full	-1	5
559266	38423507	full	-1	5
559266	39315727	full	0	4
559266	39333574	full	-1	5
559266	39373076	full	1	3
559266	44552956	full	-1	5
559266	44852058	full	-1	5
559266	46361848	full	0	4
559266	52271239	full	0	4
559266	53823062	full	0	4
559266	54062613	full	0	4
559266	55109087	full	1	3
559266	58960443	full	0	4
559266	60701275	full	1	3
559266	64703125	full	-1	5
559266	71513244	full	-1	5
559266	73971899	full	1	3
559266	74220796	direct	1	1
559266	76865564	direct	2	2
559266	77685942	full	0	4
559266	77967931	full	0	4
559266	78492405	full	1	3
559266	80077143	full	0	4
559266	80865632	full	0	4
861768	6636173	full	0	4
861768	7368108	full	1	3
861768	10365277	full	0	4
861768	11358801	full	-1	5
861768	11823858	full	0	4
861768	12579651	direct	2	2
861768	13065389	full	-1	5
861768	15633272	full	0	4
861768	17669879	full	-1	5
861768	17717220	full	1	3
861768	22630436	full	1	3
861768	24149976	full	-1	3
861768	25712643	full	0	4
861768	26034161	full	1	3
861768	27068368	full	0	4
861768	27523150	full	0	2
