Indiv1	Indiv2	relationship type	generation depth	meioses events
1	2	NA	NA	NA
1	3	NA	NA	NA
1	4	NA	NA	NA
1	5	direct	-1	1
1	6	NA	NA	NA
1	7	direct	-2	2
1	8	NA	NA	NA
1	9	direct	-1	1
1	10	direct	-1	1
1	11	NA	NA	NA
1	12	direct	-2	2
1	14	direct	-2	2
1	15	NA	NA	NA
1	16	direct	-3	3
1	17	NA	NA	NA
1	18	NA	NA	NA
1	19	NA	NA	NA
1	20	NA	NA	NA
1	21	NA	NA	NA
1	22	NA	NA	NA
1	23	direct	-2	2
1	24	NA	NA	NA
1	25	direct	-3	3
1	26	direct	-3	3
1	27	NA	NA	NA
1	28	direct	-4	4
1	29	direct	-4	4
1	30	direct	-2	2
1	31	NA	NA	NA
1	32	direct	-3	3
2	3	NA	NA	NA
2	4	NA	NA	NA
2	5	direct	-1	1
2	6	NA	NA	NA
2	7	direct	-2	2
2	8	NA	NA	NA
2	9	direct	-1	1
2	10	direct	-1	1
2	11	NA	NA	NA
2	12	direct	-2	2
2	14	direct	-2	2
2	15	NA	NA	NA
2	16	direct	-3	3
2	17	NA	NA	NA
2	18	NA	NA	NA
2	19	NA	NA	NA
2	20	NA	NA	NA
2	21	NA	NA	NA
2	22	NA	NA	NA
2	23	direct	-2	2
2	24	NA	NA	NA
2	25	direct	-3	3
2	26	direct	-3	3
2	27	NA	NA	NA
2	28	direct	-4	4
2	29	direct	-4	4
2	30	direct	-2	2
2	31	NA	NA	NA
2	32	direct	-3	3
3	4	NA	NA	NA
3	5	NA	NA	NA
3	6	direct	-1	1
3	7	direct	-2	2
3	8	NA	NA	NA
3	9	NA	NA	NA
3	10	NA	NA	NA
3	11	NA	NA	NA
3	12	NA	NA	NA
3	14	NA	NA	NA
3	15	NA	NA	NA
3	16	NA	NA	NA
3	17	direct	-1	1
3	18	NA	NA	NA
3	19	direct	-2	2
3	20	direct	-2	2
3	21	NA	NA	NA
3	22	direct	-3	3
3	23	NA	NA	NA
3	24	NA	NA	NA
3	25	NA	NA	NA
3	26	NA	NA	NA
3	27	NA	NA	NA
3	28	NA	NA	NA
3	29	NA	NA	NA
3	30	NA	NA	NA
3	31	NA	NA	NA
3	32	NA	NA	NA
4	5	NA	NA	NA
4	6	direct	-1	1
4	7	direct	-2	2
4	8	NA	NA	NA
4	9	NA	NA	NA
4	10	NA	NA	NA
4	11	NA	NA	NA
4	12	NA	NA	NA
4	14	NA	NA	NA
4	15	NA	NA	NA
4	16	NA	NA	NA
4	17	direct	-1	1
4	18	NA	NA	NA
4	19	direct	-2	2
4	20	direct	-2	2
4	21	NA	NA	NA
4	22	direct	-3	3
4	23	NA	NA	NA
4	24	NA	NA	NA
4	25	NA	NA	NA
4	26	NA	NA	NA
4	27	NA	NA	NA
4	28	NA	NA	NA
4	29	NA	NA	NA
4	30	NA	NA	NA
4	31	NA	NA	NA
4	32	NA	NA	NA
5	6	NA	NA	NA
5	7	direct	-1	1
5	8	NA	NA	NA
5	9	full	0	2
5	10	full	0	2
5	11	NA	NA	NA
5	12	full	-1	3
5	14	full	-1	3
5	15	NA	NA	NA
5	16	full	-2	4
5	17	NA	NA	NA
5	18	NA	NA	NA
5	19	NA	NA	NA
5	20	NA	NA	NA
5	21	NA	NA	NA
5	22	NA	NA	NA
5	23	direct	-1	1
5	24	NA	NA	NA
5	25	direct	-2	2
5	26	direct	-2	2
5	27	NA	NA	NA
5	28	direct	-3	3
5	29	direct	-3	3
5	30	direct	-1	1
5	31	NA	NA	NA
5	32	direct	-2	2
6	7	direct	-1	1
6	8	NA	NA	NA
6	9	NA	NA	NA
6	10	NA	NA	NA
6	11	NA	NA	NA
6	12	NA	NA	NA
6	14	NA	NA	NA
6	15	NA	NA	NA
6	16	NA	NA	NA
6	17	full	0	2
6	18	NA	NA	NA
6	19	full	-1	3
6	20	full	-1	3
6	21	NA	NA	NA
6	22	full	-2	4
6	23	NA	NA	NA
6	24	NA	NA	NA
6	25	NA	NA	NA
6	26	NA	NA	NA
6	27	NA	NA	NA
6	28	NA	NA	NA
6	29	NA	NA	NA
6	30	NA	NA	NA
6	31	NA	NA	NA
6	32	NA	NA	NA
7	8	NA	NA	NA
7	9	full	1	3
7	10	full	1	3
7	11	NA	NA	NA
7	12	full	0	4
7	14	full	0	4
7	15	NA	NA	NA
7	16	full	-1	5
7	17	full	1	3
7	18	NA	NA	NA
7	19	full	0	4
7	20	full	0	4
7	21	NA	NA	NA
7	22	full	-1	5
7	23	half	0	2
7	24	NA	NA	NA
7	25	half	-1	3
7	26	half	-1	3
7	27	NA	NA	NA
7	28	half	-2	4
7	29	half	-2	4
7	30	half	0	2
7	31	NA	NA	NA
7	32	half	-1	3
8	9	NA	NA	NA
8	10	NA	NA	NA
8	11	NA	NA	NA
8	12	NA	NA	NA
8	14	NA	NA	NA
8	15	NA	NA	NA
8	16	NA	NA	NA
8	17	NA	NA	NA
8	18	NA	NA	NA
8	19	NA	NA	NA
8	20	NA	NA	NA
8	21	NA	NA	NA
8	22	NA	NA	NA
8	23	direct	-1	1
8	24	NA	NA	NA
8	25	direct	-2	2
8	26	direct	-2	2
8	27	NA	NA	NA
8	28	direct	-3	3
8	29	direct	-3	3
8	30	direct	-1	1
8	31	NA	NA	NA
8	32	direct	-2	2
9	10	full	0	2
9	11	NA	NA	NA
9	12	full	-1	3
9	14	full	-1	3
9	15	NA	NA	NA
9	16	full	-2	4
9	17	NA	NA	NA
9	18	NA	NA	NA
9	19	NA	NA	NA
9	20	NA	NA	NA
9	21	NA	NA	NA
9	22	NA	NA	NA
9	23	full	-1	3
9	24	NA	NA	NA
9	25	full	-2	4
9	26	full	-2	4
9	27	NA	NA	NA
9	28	full	-3	5
9	29	full	-3	5
9	30	full	-1	3
9	31	NA	NA	NA
9	32	full	-2	4
10	11	NA	NA	NA
10	12	direct	-1	1
10	14	direct	-1	1
10	15	NA	NA	NA
10	16	direct	-2	2
10	17	NA	NA	NA
10	18	NA	NA	NA
10	19	NA	NA	NA
10	20	NA	NA	NA
10	21	NA	NA	NA
10	22	NA	NA	NA
10	23	full	-1	3
10	24	NA	NA	NA
10	25	full	-2	4
10	26	full	-2	4
10	27	NA	NA	NA
10	28	full	-3	5
10	29	full	-3	5
10	30	full	-1	3
10	31	NA	NA	NA
10	32	full	-2	4
11	12	direct	-1	1
11	14	direct	-1	1
11	15	NA	NA	NA
11	16	direct	-2	2
11	17	NA	NA	NA
11	18	NA	NA	NA
11	19	NA	NA	NA
11	20	NA	NA	NA
11	21	NA	NA	NA
11	22	NA	NA	NA
11	23	NA	NA	NA
11	24	NA	NA	NA
11	25	NA	NA	NA
11	26	NA	NA	NA
11	27	NA	NA	NA
11	28	NA	NA	NA
11	29	NA	NA	NA
11	30	NA	NA	NA
11	31	NA	NA	NA
11	32	NA	NA	NA
12	14	full	0	2
12	15	NA	NA	NA
12	16	full	-1	3
12	17	NA	NA	NA
12	18	NA	NA	NA
12	19	NA	NA	NA
12	20	NA	NA	NA
12	21	NA	NA	NA
12	22	NA	NA	NA
12	23	full	0	4
12	24	NA	NA	NA
12	25	full	-1	5
12	26	full	-1	5
12	27	NA	NA	NA
12	28	full	-2	6
12	29	full	-2	6
12	30	full	0	4
12	31	NA	NA	NA
12	32	full	-1	5
14	15	NA	NA	NA
14	16	direct	-1	1
14	17	NA	NA	NA
14	18	NA	NA	NA
14	19	NA	NA	NA
14	20	NA	NA	NA
14	21	NA	NA	NA
14	22	NA	NA	NA
14	23	full	0	4
14	24	NA	NA	NA
14	25	full	-1	5
14	26	full	-1	5
14	27	NA	NA	NA
14	28	full	-2	6
14	29	full	-2	6
14	30	full	0	4
14	31	NA	NA	NA
14	32	full	-1	5
15	16	direct	-1	1
15	17	NA	NA	NA
15	18	NA	NA	NA
15	19	NA	NA	NA
15	20	NA	NA	NA
15	21	NA	NA	NA
15	22	NA	NA	NA
15	23	NA	NA	NA
15	24	NA	NA	NA
15	25	NA	NA	NA
15	26	NA	NA	NA
15	27	NA	NA	NA
15	28	NA	NA	NA
15	29	NA	NA	NA
15	30	NA	NA	NA
15	31	NA	NA	NA
15	32	NA	NA	NA
16	17	NA	NA	NA
16	18	NA	NA	NA
16	19	NA	NA	NA
16	20	NA	NA	NA
16	21	NA	NA	NA
16	22	NA	NA	NA
16	23	full	1	5
16	24	NA	NA	NA
16	25	full	0	6
16	26	full	0	6
16	27	NA	NA	NA
16	28	full	-1	7
16	29	full	-1	7
16	30	full	1	5
16	31	NA	NA	NA
16	32	full	0	6
17	18	NA	NA	NA
17	19	direct	-1	1
17	20	direct	-1	1
17	21	NA	NA	NA
17	22	direct	-2	2
17	23	NA	NA	NA
17	24	NA	NA	NA
17	25	NA	NA	NA
17	26	NA	NA	NA
17	27	NA	NA	NA
17	28	NA	NA	NA
17	29	NA	NA	NA
17	30	NA	NA	NA
17	31	NA	NA	NA
17	32	NA	NA	NA
18	19	direct	-1	1
18	20	direct	-1	1
18	21	NA	NA	NA
18	22	direct	-2	2
18	23	NA	NA	NA
18	24	NA	NA	NA
18	25	NA	NA	NA
18	26	NA	NA	NA
18	27	NA	NA	NA
18	28	NA	NA	NA
18	29	NA	NA	NA
18	30	NA	NA	NA
18	31	NA	NA	NA
18	32	NA	NA	NA
19	20	full	0	2
19	21	NA	NA	NA
19	22	full	-1	3
19	23	NA	NA	NA
19	24	NA	NA	NA
19	25	NA	NA	NA
19	26	NA	NA	NA
19	27	NA	NA	NA
19	28	NA	NA	NA
19	29	NA	NA	NA
19	30	NA	NA	NA
19	31	NA	NA	NA
19	32	NA	NA	NA
20	21	NA	NA	NA
20	22	direct	-1	1
20	23	NA	NA	NA
20	24	NA	NA	NA
20	25	NA	NA	NA
20	26	NA	NA	NA
20	27	NA	NA	NA
20	28	NA	NA	NA
20	29	NA	NA	NA
20	30	NA	NA	NA
20	31	NA	NA	NA
20	32	NA	NA	NA
21	22	direct	-1	1
21	23	NA	NA	NA
21	24	NA	NA	NA
21	25	NA	NA	NA
21	26	NA	NA	NA
21	27	NA	NA	NA
21	28	NA	NA	NA
21	29	NA	NA	NA
21	30	NA	NA	NA
21	31	NA	NA	NA
21	32	NA	NA	NA
22	23	NA	NA	NA
22	24	NA	NA	NA
22	25	NA	NA	NA
22	26	NA	NA	NA
22	27	NA	NA	NA
22	28	NA	NA	NA
22	29	NA	NA	NA
22	30	NA	NA	NA
22	31	NA	NA	NA
22	32	NA	NA	NA
23	24	NA	NA	NA
23	25	direct	-1	1
23	26	direct	-1	1
23	27	NA	NA	NA
23	28	direct	-2	2
23	29	direct	-2	2
23	30	full	0	2
23	31	NA	NA	NA
23	32	full	-1	3
24	25	direct	-1	1
24	26	direct	-1	1
24	27	NA	NA	NA
24	28	direct	-2	2
24	29	direct	-2	2
24	30	NA	NA	NA
24	31	NA	NA	NA
24	32	NA	NA	NA
25	26	full	0	2
25	27	NA	NA	NA
25	28	full	-1	3
25	29	full	-1	3
25	30	full	1	3
25	31	NA	NA	NA
25	32	full	0	4
26	27	NA	NA	NA
26	28	direct	-1	1
26	29	direct	-1	1
26	30	full	1	3
26	31	NA	NA	NA
26	32	full	0	4
27	28	direct	-1	1
27	29	direct	-1	1
27	30	NA	NA	NA
27	31	NA	NA	NA
27	32	NA	NA	NA
28	29	full	0	2
28	30	full	2	4
28	31	NA	NA	NA
28	32	full	1	5
29	30	full	2	4
29	31	NA	NA	NA
29	32	full	1	5
30	31	NA	NA	NA
30	32	direct	-1	1
31	32	direct	-1	1
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
