Indiv1	Indiv2	relationship type	generation depth	meioses events
1	2	NA	NA	NA
1	3	NA	NA	NA
1	4	NA	NA	NA
1	5	direct	-1	1
1	6	NA	NA	NA
1	7	direct	-1	1
1	8	direct	-1	1
1	9	NA	NA	NA
1	10	NA	NA	NA
1	11	NA	NA	NA
1	12	NA	NA	NA
1	13	direct	-2	2
1	14	direct	-2	2
1	15	direct	-2	2
1	16	direct	-2	2
1	17	NA	NA	NA
1	18	direct	-2	2
1	19	NA	NA	NA
1	20	NA	NA	NA
1	21	NA	NA	NA
1	22	NA	NA	NA
1	23	NA	NA	NA
1	24	NA	NA	NA
1	25	direct	-3	3
1	26	NA	NA	NA
1	27	NA	NA	NA
1	28	NA	NA	NA
1	29	NA	NA	NA
1	30	NA	NA	NA
1	31	NA	NA	NA
2	3	NA	NA	NA
2	4	NA	NA	NA
2	5	direct	-1	1
2	6	NA	NA	NA
2	7	direct	-1	1
2	8	direct	-1	1
2	9	NA	NA	NA
2	10	NA	NA	NA
2	11	NA	NA	NA
2	12	NA	NA	NA
2	13	direct	-2	2
2	14	direct	-2	2
2	15	direct	-2	2
2	16	direct	-2	2
2	17	NA	NA	NA
2	18	direct	-2	2
2	19	NA	NA	NA
2	20	NA	NA	NA
2	21	NA	NA	NA
2	22	NA	NA	NA
2	23	NA	NA	NA
2	24	NA	NA	NA
2	25	direct	-3	3
2	26	NA	NA	NA
2	27	NA	NA	NA
2	28	NA	NA	NA
2	29	NA	NA	NA
2	30	NA	NA	NA
2	31	NA	NA	NA
3	4	NA	NA	NA
3	5	NA	NA	NA
3	6	NA	NA	NA
3	7	NA	NA	NA
3	8	NA	NA	NA
3	9	NA	NA	NA
3	10	NA	NA	NA
3	11	direct	-1	1
3	12	direct	-1	1
3	13	NA	NA	NA
3	14	NA	NA	NA
3	15	NA	NA	NA
3	16	NA	NA	NA
3	17	NA	NA	NA
3	18	NA	NA	NA
3	19	NA	NA	NA
3	20	NA	NA	NA
3	21	NA	NA	NA
3	22	NA	NA	NA
3	23	full	-2	2
3	24	full	-2	2
3	25	NA	NA	NA
3	26	NA	NA	NA
3	27	NA	NA	NA
3	28	NA	NA	NA
3	29	NA	NA	NA
3	30	NA	NA	NA
3	31	NA	NA	NA
4	5	NA	NA	NA
4	6	NA	NA	NA
4	7	NA	NA	NA
4	8	NA	NA	NA
4	9	NA	NA	NA
4	10	NA	NA	NA
4	11	direct	-1	1
4	12	direct	-1	1
4	13	direct	-1	1
4	14	NA	NA	NA
4	15	NA	NA	NA
4	16	NA	NA	NA
4	17	NA	NA	NA
4	18	NA	NA	NA
4	19	NA	NA	NA
4	20	NA	NA	NA
4	21	NA	NA	NA
4	22	NA	NA	NA
4	23	full	-2	2
4	24	full	-2	2
4	25	NA	NA	NA
4	26	NA	NA	NA
4	27	NA	NA	NA
4	28	NA	NA	NA
4	29	NA	NA	NA
4	30	NA	NA	NA
4	31	NA	NA	NA
5	6	NA	NA	NA
5	7	full	0	2
5	8	full	0	2
5	9	NA	NA	NA
5	10	NA	NA	NA
5	11	NA	NA	NA
5	12	NA	NA	NA
5	13	direct	-1	1
5	14	full	-1	3
5	15	full	-1	3
5	16	full	-1	3
5	17	NA	NA	NA
5	18	full	-1	3
5	19	NA	NA	NA
5	20	NA	NA	NA
5	21	NA	NA	NA
5	22	NA	NA	NA
5	23	NA	NA	NA
5	24	NA	NA	NA
5	25	full	-2	4
5	26	NA	NA	NA
5	27	NA	NA	NA
5	28	NA	NA	NA
5	29	NA	NA	NA
5	30	NA	NA	NA
5	31	NA	NA	NA
6	7	NA	NA	NA
6	8	NA	NA	NA
6	9	NA	NA	NA
6	10	NA	NA	NA
6	11	NA	NA	NA
6	12	NA	NA	NA
6	13	NA	NA	NA
6	14	direct	-1	1
6	15	direct	-1	1
6	16	NA	NA	NA
6	17	NA	NA	NA
6	18	NA	NA	NA
6	19	NA	NA	NA
6	20	NA	NA	NA
6	21	NA	NA	NA
6	22	NA	NA	NA
6	23	NA	NA	NA
6	24	NA	NA	NA
6	25	NA	NA	NA
6	26	NA	NA	NA
6	27	NA	NA	NA
6	28	NA	NA	NA
6	29	NA	NA	NA
6	30	NA	NA	NA
6	31	NA	NA	NA
7	8	full	0	2
7	9	NA	NA	NA
7	10	NA	NA	NA
7	11	NA	NA	NA
7	12	NA	NA	NA
7	13	full	-1	3
7	14	direct	-1	1
7	15	direct	-1	1
7	16	full	-1	3
7	17	NA	NA	NA
7	18	full	-1	3
7	19	NA	NA	NA
7	20	NA	NA	NA
7	21	NA	NA	NA
7	22	NA	NA	NA
7	23	NA	NA	NA
7	24	NA	NA	NA
7	25	full	-2	4
7	26	NA	NA	NA
7	27	NA	NA	NA
7	28	NA	NA	NA
7	29	NA	NA	NA
7	30	NA	NA	NA
7	31	NA	NA	NA
8	9	NA	NA	NA
8	10	NA	NA	NA
8	11	NA	NA	NA
8	12	NA	NA	NA
8	13	full	-1	3
8	14	full	-1	3
8	15	full	-1	3
8	16	direct	-1	1
8	17	NA	NA	NA
8	18	direct	-1	1
8	19	NA	NA	NA
8	20	NA	NA	NA
8	21	NA	NA	NA
8	22	NA	NA	NA
8	23	NA	NA	NA
8	24	NA	NA	NA
8	25	direct	-2	2
8	26	NA	NA	NA
8	27	NA	NA	NA
8	28	NA	NA	NA
8	29	NA	NA	NA
8	30	NA	NA	NA
8	31	NA	NA	NA
9	10	NA	NA	NA
9	11	NA	NA	NA
9	12	NA	NA	NA
9	13	NA	NA	NA
9	14	NA	NA	NA
9	15	NA	NA	NA
9	16	direct	-1	1
9	17	NA	NA	NA
9	18	direct	-1	1
9	19	direct	-1	1
9	20	NA	NA	NA
9	21	direct	-1	1
9	22	NA	NA	NA
9	23	NA	NA	NA
9	24	NA	NA	NA
9	25	direct	-2	2
9	26	direct	-2	2
9	27	direct	-2	2
9	28	direct	-2	2
9	29	direct	-2	2
9	30	direct	-2	2
9	31	direct	-2	2
10	11	NA	NA	NA
10	12	NA	NA	NA
10	13	NA	NA	NA
10	14	NA	NA	NA
10	15	NA	NA	NA
10	16	NA	NA	NA
10	17	NA	NA	NA
10	18	NA	NA	NA
10	19	direct	-1	1
10	20	NA	NA	NA
10	21	direct	-1	1
10	22	NA	NA	NA
10	23	NA	NA	NA
10	24	NA	NA	NA
10	25	NA	NA	NA
10	26	direct	-2	2
10	27	direct	-2	2
10	28	direct	-2	2
10	29	direct	-2	2
10	30	direct	-2	2
10	31	direct	-2	2
11	12	full	0	2
11	13	half	0	2
11	14	NA	NA	NA
11	15	NA	NA	NA
11	16	NA	NA	NA
11	17	NA	NA	NA
11	18	NA	NA	NA
11	19	NA	NA	NA
11	20	NA	NA	NA
11	21	NA	NA	NA
11	22	NA	NA	NA
11	23	direct	-1	1
11	24	direct	-1	1
11	25	NA	NA	NA
11	26	NA	NA	NA
11	27	NA	NA	NA
11	28	NA	NA	NA
11	29	NA	NA	NA
11	30	NA	NA	NA
11	31	NA	NA	NA
12	13	half	0	2
12	14	NA	NA	NA
12	15	NA	NA	NA
12	16	NA	NA	NA
12	17	NA	NA	NA
12	18	NA	NA	NA
12	19	NA	NA	NA
12	20	NA	NA	NA
12	21	NA	NA	NA
12	22	NA	NA	NA
12	23	direct	-1	1
12	24	direct	-1	1
12	25	NA	NA	NA
12	26	NA	NA	NA
12	27	NA	NA	NA
12	28	NA	NA	NA
12	29	NA	NA	NA
12	30	NA	NA	NA
12	31	NA	NA	NA
13	14	full	0	4
13	15	full	0	4
13	16	full	0	4
13	17	NA	NA	NA
13	18	full	0	4
13	19	NA	NA	NA
13	20	NA	NA	NA
13	21	NA	NA	NA
13	22	NA	NA	NA
13	23	full	-1	3
13	24	full	-1	3
13	25	full	-1	5
13	26	NA	NA	NA
13	27	NA	NA	NA
13	28	NA	NA	NA
13	29	NA	NA	NA
13	30	NA	NA	NA
13	31	NA	NA	NA
14	15	full	0	2
14	16	full	0	4
14	17	NA	NA	NA
14	18	full	0	4
14	19	NA	NA	NA
14	20	NA	NA	NA
14	21	NA	NA	NA
14	22	NA	NA	NA
14	23	NA	NA	NA
14	24	NA	NA	NA
14	25	full	-1	5
14	26	NA	NA	NA
14	27	NA	NA	NA
14	28	NA	NA	NA
14	29	NA	NA	NA
14	30	NA	NA	NA
14	31	NA	NA	NA
15	16	full	0	4
15	17	NA	NA	NA
15	18	full	0	4
15	19	NA	NA	NA
15	20	NA	NA	NA
15	21	NA	NA	NA
15	22	NA	NA	NA
15	23	NA	NA	NA
15	24	NA	NA	NA
15	25	full	-1	5
15	26	NA	NA	NA
15	27	NA	NA	NA
15	28	NA	NA	NA
15	29	NA	NA	NA
15	30	NA	NA	NA
15	31	NA	NA	NA
16	17	NA	NA	NA
16	18	full	0	2
16	19	half	0	2
16	20	NA	NA	NA
16	21	half	0	2
16	22	NA	NA	NA
16	23	NA	NA	NA
16	24	NA	NA	NA
16	25	full	-1	3
16	26	half	-1	3
16	27	half	-1	3
16	28	half	-1	3
16	29	half	-1	3
16	30	half	-1	3
16	31	half	-1	3
17	18	NA	NA	NA
17	19	NA	NA	NA
17	20	NA	NA	NA
17	21	NA	NA	NA
17	22	NA	NA	NA
17	23	NA	NA	NA
17	24	NA	NA	NA
17	25	direct	-1	1
17	26	NA	NA	NA
17	27	NA	NA	NA
17	28	NA	NA	NA
17	29	NA	NA	NA
17	30	NA	NA	NA
17	31	NA	NA	NA
18	19	half	0	2
18	20	NA	NA	NA
18	21	half	0	2
18	22	NA	NA	NA
18	23	NA	NA	NA
18	24	NA	NA	NA
18	25	direct	-1	1
18	26	half	-1	3
18	27	half	-1	3
18	28	half	-1	3
18	29	half	-1	3
18	30	half	-1	3
18	31	half	-1	3
19	20	NA	NA	NA
19	21	full	0	2
19	22	NA	NA	NA
19	23	NA	NA	NA
19	24	NA	NA	NA
19	25	half	-1	3
19	26	direct	-1	1
19	27	direct	-1	1
19	28	full	-1	3
19	29	full	-1	3
19	30	full	-1	3
19	31	full	-1	3
20	21	NA	NA	NA
20	22	NA	NA	NA
20	23	NA	NA	NA
20	24	NA	NA	NA
20	25	NA	NA	NA
20	26	direct	-1	1
20	27	direct	-1	1
20	28	NA	NA	NA
20	29	NA	NA	NA
20	30	NA	NA	NA
20	31	NA	NA	NA
21	22	NA	NA	NA
21	23	NA	NA	NA
21	24	NA	NA	NA
21	25	half	-1	3
21	26	full	-1	3
21	27	full	-1	3
21	28	direct	-1	1
21	29	direct	-1	1
21	30	direct	-1	1
21	31	direct	-1	1
22	23	NA	NA	NA
22	24	NA	NA	NA
22	25	NA	NA	NA
22	26	NA	NA	NA
22	27	NA	NA	NA
22	28	direct	-1	1
22	29	direct	-1	1
22	30	direct	-1	1
22	31	direct	-1	1
23	24	full	0	2
23	25	NA	NA	NA
23	26	NA	NA	NA
23	27	NA	NA	NA
23	28	NA	NA	NA
23	29	NA	NA	NA
23	30	NA	NA	NA
23	31	NA	NA	NA
24	25	NA	NA	NA
24	26	NA	NA	NA
24	27	NA	NA	NA
24	28	NA	NA	NA
24	29	NA	NA	NA
24	30	NA	NA	NA
24	31	NA	NA	NA
25	26	half	0	4
25	27	half	0	4
25	28	half	0	4
25	29	half	0	4
25	30	half	0	4
25	31	half	0	4
26	27	full	0	2
26	28	full	0	4
26	29	full	0	4
26	30	full	0	4
26	31	full	0	4
27	28	full	0	4
27	29	full	0	4
27	30	full	0	4
27	31	full	0	4
28	29	full	0	2
28	30	full	0	2
28	31	full	0	2
29	30	full	0	2
29	31	full	0	2
30	31	full	0	2
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
